t [s],Step_Time(s),I [A],V [V]
8993.298983,82.19899718,0.412788361,3.211125135
8994.300003,83.20001963,0.412607908,3.210817337
8995.301083,84.20110368,0.412607908,3.21020174
8996.301103,85.20112139,0.412607908,3.209893942
8997.304263,86.20428152,0.412788361,3.209586143
8998.309243,87.20925712,0.412607908,3.209586143
8999.310363,88.21037697,0.412607908,3.208970547
9000.320343,89.22035782,0.412607908,3.208970547
9001.321373,90.22139221,0.412788361,3.208355188
9002.323403,91.22342402,0.412427455,3.208662748
9003.325483,92.22550396,0.412607908,3.208355188
9004.328543,93.22856015,0.412788361,3.20804739
9005.331693,94.23170758,0.412607908,3.207739592
9006.332653,95.23266844,0.412427455,3.207739592
9007.333793,96.23381447,0.412788361,3.207739592
9008.334823,97.23484385,0.412607908,3.207431793
9009.336783,98.23680214,0.412607908,3.206816196
9010.339853,99.23987258,0.412788361,3.206816196
9011.342883,100.2429064,0.412607908,3.207123995
9012.345943,101.2459634,0.412607908,3.206816196
9013.349063,102.2490812,0.412788361,3.206508398
9014.353073,103.2530932,0.412427455,3.206508398
9015.354083,104.2540976,0.412788361,3.206508398
9016.354143,105.2541611,0.825666845,3.134797812
9017.355193,106.2552071,0.825125515,3.133874655
9018.358263,107.2582825,0.825305939,3.13295126
9019.359373,108.2593916,0.824945033,3.132643461
9020.360293,109.2603143,0.825125515,3.131720066
9021.362393,110.2624085,0.825125515,3.131104708
9022.366433,111.2664544,0.825125515,3.130796909
9023.368443,112.2684597,0.825125515,3.130181313
9024.369543,113.2695637,0.825305939,3.129565716
9025.370743,114.2707656,0.825125515,3.129257917
9026.380653,115.2806748,0.825125515,3.128950357
9027.382643,116.2826666,0.825125515,3.128642559
9028.384743,117.2847604,-0.412246823,3.34161973
9029.385843,118.285861,-0.412246823,3.344081879
9030.387893,119.2879098,-0.412246823,3.345620871
9031.387903,120.2879182,-0.412246823,3.346851826
9032.387933,121.2879567,-0.412246823,3.347775221
9033.389063,122.2890831,-0.412246823,3.349006414
9034.390063,123.2900782,-0.412246823,3.349621773
9035.391223,124.2912454,-0.412246823,3.350545168
9036.392273,125.2922937,0.412788361,3.209278345
9037.393393,126.2934135,0.412607908,3.20804739
9038.395303,127.2953241,0.412788361,3.207431793
9039.396353,128.2963681,0.412788361,3.206816196
9040.396393,129.2964097,0.412607908,3.206816196
